3	sanctitas, sanctitatis	f	holiness	34
3	sanguis, sanguinis	m	blood	15
1	sapientia, sapientiae	f	wisdom	18
3	scelus, sceleris	n	crime, sin	20
1	scriba, scribae	m	scribe (i.e., one versed in Jewish law)	35
1	scriptura, scripturae	f	writing, scnprure	11
3	sedes, sedis	f	place, seat	30
1	semita, semitae	f	path	21
4	sensus, sensus	m	feeling, sense; understanding, mind	23
2	sepulcrum, sepulcri	n	sepulcher	31
3	sermo, sermonis	m	talk, speech	31
2	servus, servi	m	slave, servant	2
3	sidus, sideris	n	star, constellation	32
2	signum, signi	n	sign; miracle	27
2	silentium, silentii	n	silence	8
2	socius, socii	m	companion, ally	9
3i	sodalis, sodalis, sodalium	m	companion, associate	33
3	sol, solis	m	sun	34
2	somnus, somni	m	sleep	30
2	spatium, spatii	n	space	10
5	species, speciei	f	appearancei kind, type; beauty	32
5	spes, spei	f	hope	19
1	spina, spinae	f	thorn	22
4	spiritus, spiritus	m	breath, spirit	16
3	splendor, splendoris	m	brilliance, splendor	35
2	sponsus, sponsi	m	bridegroom	35
1	stella, stellae	f	star	5
3	suivitis, suavitatis	f	sweetness	16
1	substantia, substantiae	f	nature, substance	21
1	synagoga, synagogae	f	congregation, synagogue	27
2	tectum, tecti	n	roof, house	9
3	tellus, telluris	f	earth	17
2	templum, templi	n	temple, church	6
3	tempus, temporis	n	time	27
1	tenebrae, tenebrarum	f	(pl.) darkness, gloom	18
3	tentatio, tentationis	f	temptation, trial	28
1	terra, terrae	f	earth, land, ground	1
2	testamentum, testamenti	n	covenant, testament	3
2	testimonium, testimonii	n	witness, testimony	9
2	thronus, throni	m	throne	32
3	timor, timoris	m	fear	29
3	traditio, traditionis	f	tradition	32
2	triumphus, triumphi	m	triumph	26
1	tuba, tubae	f	trumpet	13
1	turba, turbae	f	crowd, multitude	7
1	umbra, umbrae	f	shadow, shade	28
3	unitas, unitatis	f	unity	25
2	universum, universi	n	universe	3
3	utilitas, utilitatis	f	benefit, profit, good	32
3	uxor, uxoris	f	wife	34
1	venia, veniae	f	indulgence, kindness	25
3	venter, ventris	m	belly; womb	33
2	ventus, venti	m	wind	34
3	verber, verberis	n	lash; scourging	33
2	verbum, verbi	n	word	3
3	veritas, veritatis	f	truth	24
2	vestigium, vestigii	n	footstep	9
1	via, viae	f	way, road, street	5
2	vicinus, vicini	m	neighbor	30
3	victor, victoris	m	conqueror, victor	31
1	victoria, victoriae	f	victory	7
2	vinculum, vinculi	n	bond, chain	10
2	vinum, vini	n	wine	3
2	vir, viri	m	man, husband	3
3	virgo, virginis	f	virgin	14
3	virtus, virtutis	f	excellence, virtue; power, strength; (pl.) miracles	27
3	visio, visionis	f	vision	31
1	vita, vitae	f	life	1
2	vitium, vitii	n	fault, sin, vice	3
3	voluntas, voluntatis	f	will	14
2	votum, voti	n	vow; prayer	7
3	vox, vocis	f	sound, voice	27
4	vultus, vultus	m	face [i.e. countenance]	16
